qid,qtext
1546,Does OID have and specific tax requirements?
930,Is interest income generated from childrens Savings Accounts with parents as trustees taxable?
757,How is deferred compensation from offshore partnerships treated as income? 
806,I am a member of a religious order that has taken a vow of poverty do I recognize income?
661,Under what circumstances would the cost of groupterm life insurance not be taxed? 
155,If an distribution from a retirement plan is paid to someone who is called to active duty from the reserves is that distribution taxed differently?
618,Under what circumstances is selfemployment income is subject to Additional Medicare Tax?
1743,Are there tax implications from loans from a pension plan as an owneremployee?
1063,If I receive a below interest loan do I have to report the forgone interest?
628,What is an Archer MSA Contribution? How are my employers contributions reported? 
1547,How do I check the OID reporting regulations?
470,Can I exclude recourse debt relief if my mortgage exceeds fair market value?
42,How are elective deferrals to my 401k Section 501c18D
588,I received a bonusaward from my employer Do I need to include it as income? 
1175,What are the tax implications of a dividend being declared at the end of one year and paid in the beginning of the next year?
689,What is a stock option? 
524,How do I calculate the taxable portion of endowment proceeds?
336,When can I deduct legal expenses from my social security benefits?
1655,Are disability payments included in last year's taxable income deductible?
1925,Can I defer rental payment received in advance?  
1288,Can I depreciate improvements made by a tenant?
1621,How does mortgage points of a rental property affect my taxes?
879,Are tips reported to my employer included on my W2?
1905,Is there a limit on 401k or 403b contribution deductions towards my taxable income?
924,Is interest received as a beneficiary of an estate or trust taxable income?
1642,How do I execute a direct rollover from on eligible retirement plant to another?
472,Where is income from discharge of indebtedness reported on my return?
1070,If ownership is transferred for a bond who reports the interest income?
1697,Do non cash tips get included on a W2?
1058,What is the tax treatment for bonds traded at a flat rate?
1855,What is a qualified dividend?
1340,How much rental property do I have to own to be considered active?
1848,Is money I receive from my pension tax free?
387,Do I report my net benefits and my taxable benefits separately?
1554,What are the regulations for prior year social security benefit payments?
1356,Do expenses I cannot deduct add to my basis?
865,How do I report my tips if my employment has ended?
1332,Can I use my rental loses to offset my ordinary income?
938,Is interest on VA dividends taxable?
109,20 of my distribution was withheld what should I report in my income?
848,Are service charges taxable to me?
1037,When and to whom do I have to supply my social security number?
1672,How does a repair differ from an improvement?
1438,How will I know when to use Section 179 Deductions?
482,Can I file a refund if I repay a canceled debt?
50,As an employee of a taxexempt organization or government what are the tax benefits of my taxsheltered annuity or TSA plan?
584,How can I take advantage of my employers qualified pension or annuity plan? 
811,What payments to veterans and their families are not taxable?
315,How do I report my benefits?
529,Where can I get more information on the limits and definitions of a chronically ill individual?
1846,What is my basis in my pension plan?
395,Are there any state deductions or exclusions for the amount of social security benefits I am taxed on?
687,Am I allowed a catch up contributions otherwise known as additional elective deferral? 
1600,Can I ever consider a dividend payment as a return of capital?
736,If I reside outside of the United States can I exclude my foreign source income?
898,Are tips allocated to me shown separately on my W2?
624,Where does my employer include taxable fringe benefits? 
1535,Do joint purchased  US bonds have the same the different reporting requirements?
577,I repaid unearned commissions or other amounts in the year received can I reduce the amount included in income? 
1309,What if I start renting my house out in the middle of the year?
247,What are the benefits of rolling over the funds to an IRA or eligible retirement plan?
1311,What is a rental unit?
1693,Over what period is rental propery depreciated?
168,I've made after-tax contributions to my employers retirement plan do I still have to start making minimum distributions starting at a certain age?
671,What is qualified bicycle commuting? 
149,Are there any exceptions to the tax for early withdrawals from a retirement plan?
810,I am a member of the US military how do I report my income?
606,I have accepted a reduced amount of severance pay so that I can receive outplacement services training resume writing interview techniques etc Is the unreduced amount of the severance pay includible in income? 
430,If I am married filing jointly how do I treat a negative box 5 on my return and a positive number in box 5 on my spouses return?
819,What are the tax rules for services received through a longterm insurance contract?
217,Am I allowed to use the General Rule?
1191,Can a PFIC be a qualified foreign corporation?
49,What are the tax benefits of 401k and Roth 401k?
1357,Is rental income taxable?
129,Can I roll over cash in place of property I received as part of rollover distribution?
178,When do I have to recognize gains from lumpsum distributions from my employer that include shares of stocks?
521,How is an endowment contract defined?
1677,What happens to my contributions to HAS from a tax perspective?
770,What does a W2 form show? 
172,If I received an annuity as part of an estate can I deduct estate taxes?
1235,Why did I receive a 1099?
1250,What tax rate applies to ordinary dividends?
1428,Are there limitations on rental losses?
945,Is early withdrawal from a deferred interest account subject to penalties?
660,What are accidental death benefits? 
1301,Do I add the expense to the basis of the property for depreciation?
1303,What other type of expenses can I deduct from rental income?
977,What are the requirements surrounding traded savings bonds?
596,How is a differential wage payment treated? 
124,Is this rollover taxed?
1579,Do I have to claim my loan from my employer on my taxes?
666,What is a qualified transportation fringe benefit? 
1899,How do I separate taxable interest from non taxable interest on 1099INT form? 
808,I am a US citizen working for a foreign employer how do I report my income?
476,What is my taxable gain if my realized gain exceeds the basis?
1509,Is cancelled rent payments deductible? 
1501,If you're in the military do you pay the same amount in taxes for your retirement plan distributions?
1894,What is the starting basis to determine one-half benefits? 
564,Can I make arrangements with my employer to defer payment of bonus over a multiyear period? 
171,How do the rules for pension and annuity plans change if I am a survivor or beneficiary of a plan?
1926,Are distribution for an endowment contract taxable? 
1924,What income must be reported by clergy members? 
429,Who do I contact if I have questions about a negative figure on my form?
464,What kind of loan would allow for interest to be deducted and therefore excluded from income?
1128,I own stock in a foreign corporation will their be withholding on my Dividend payment?
542,If I am a shareholder in an S corporation do I have to pay tax on all its income?
678,I am under a qualified plan What are the tax consequences?
548,Do I need to record income from receipt of a recovery? 
693,I received property for my services Is it taxable?
1724,How does excess income effect my monthly benefits?
1752,When do I need to pay taxes on any bonuses or rewards?
1666,What are the tax consequences of receiving property for my services?
163,When do I reach the required beginning date of a qualified retirement plan?
473,Where can I find more information on discharge of indebtedness?
1423,On what IRS form do I report rental income and rental expenses?
134,Does my employer have to allow all eligible rollover distributions to be rolled over?
1757,What types of dividend income do I need to report?
424,Which legal expenses am I allowed a deduction for?
492,Is my debt cancelation excluded from income if it is deductible under the accrual method of accounting?
309,How do I determine who has a legal right to receive benefits?
903,Did my employer withold taxes on my allocated tips?
969,Can reporting the interest on US Savings bonds be postponed?
607,Can I deduct thhe value of outplacement services?
1885,Do I need to report deferred interest accounts early withdrawals? 
586,Where can I learn more about deductions? 
560,When is compensation subject to taxes?
682,What is the overall limit on deferrals?
1787,What is a foreign corporation?
1609,Is my employer's contributions to my nonqualified retirement plan taxable?
1739,Is a personal use vehicle provided by an employer taxable?
1214,When is the distribution of preferred stock taxable?
1392,Are there limitations on the deductions I can when renting my home?
112,How do the rollover rules apply to me if I receive the distribution as a qualified domestic relations order QDRO?
1233,What are dividends?
1036,What is backup withholding and how is it different from regular withholding for interest income?
1437,Are there restrictions on Section 179 deductions?
681,What is a qualified automatic contribution arrangement? 
104,Can I rollover nontaxable amounts of a employer plan distribution?
54,What are the tax effects if I exchanged my annuity contract for another annuity contract?
70,When does my annuity contract provide guaranteed payments?
1709,In what situation should I give out my social security number and to who?
759,As a government employee is my accrued annual leave treated as income?
35,What should I do if I received pension or annuity payments from a privately purchased annuity contract from a commercial organization such as an insurance company?
1299,Can I deduct expenses to fix things for tenants?
1716,What is the effect of contributions in excess of the limit for an elecitve referral?
872,Is there a program available to educate my employees on their reporting obligations?
788,When is the entirety of my groupterm life insurance fully taxable?
412,Can I request to have federal income tax withheld from my benefits?
918,What is the applicable tax rate for Net Investment Income NII? 
1795,"When I sell an asset, how does depreciation impact the gain or loss?"
179,How much can I contribute to my 401k or 403b plan on a yearly basis while reducing my taxable wages?
436,Where do I claim my deduction for social security benefits?
746,As a childcare provider how do I recognize my income?
347,Why are there two ways of calculating deductions of more than 3000 for my social security benefits?
1398,Is the purchase cost of my rental property deductible?
956,Are installment sale payments treated as interest?
805,What are the income recognition rules for members of the clergy?
1804,Are cash advances from a life insurance policy for someone who is terminally ill taxable?
79,I received a distribution for money I contributed to my annuity plan how do I report this?
1023,What are the rules on US Savings Bonds previously reported? 
1627,How will a sales party host be taxed on gifts he/she receives?
635,In 2016 what is the maximum contribution that can be contributed to HSA?
119,Where can I find more information on how to rollover a distribution into a Roth account?
530,Can I apply the exclusion for terminal illness if I am an employee of the terminally ill insured individual?
120,Do all Roth plans have the option to rollover distributions from one Roth account to another Roth account?
1769,Is my pension distribution taxable?
1623,What are the tax consquences of mortgage points on a rental property?
1283,What is the difference between a security deposit and advanced rent?
562,After I render services can my employer hold the funds until after the tax year? 
1594,Are there limitations to claiming Original Issued Discounts.
1173,What happens if a dividend is declared in one year but is paid in another year?
1838,Are my social security benefits impacted based on the amount of money I earn from other sources?
1033,What is considered interest income versus dividend income?
749,Do I have to pay taxes on loans from my pension plans as an owneremployee?
1512,What part of rental property is deductible?
582,How can I take advantage of my 401k plan or 403b plan?
379,Does it matter what year I recevied the benefits I repaid?
608,What is sick pay?
151,How do payments from a retirement plan qualify to be substantially equal periodic distributions?
116,How do I change the beneficiary of a qualified retirement plan?
1644,Are tip income includible on my tax return?
1083,What type of US savings bonds are qualified under the Education Savings Bonds Program?
431,Can I combine amounts of mine and my spouses forms if we file jointly?
1180,I received a dividend and have not been told what type of dividend it is how do I determine that?
1020,How should US Savings Bonds Treasury Bills Treasury Notes and Treasury be reported? 
554,Will the state provide a tax form showing any payments from them?
1574,Do I have to claim my rollover on my taxes?
1728,what is the tax treatment for dividends from Stock purchased between the declaration and payment date?
1864,"What are fringe benefits, and are they taxable?"
1829,What portion of a bearer CD is taxable?
1431,What are Section 179 Deductions?
1335,Can I deduct rental losses from ordinary active income?
1350,Can I deduct all mortgage interest on rental property?
1911,What are qualified deductions against rental property income? 
578,I repaid unearned commissions in a later tax year Are the rules different?
147,Is there an additional tax if I withdraw from my Roth IRA within five years from when I rolled over from one designated Roth account to the Roth IRA?
1416,What is advance rent?
947,Is interest paid on money borrowed from a financial institution deductible?
579,Is my advanced payment of a commission or salary considered a loan? 
1125,Is interest income considered qualified dividend income?
256,What are the tax amounts and penalties for early distributions?
1696,How are social security  benefits received early treated different for self-employed verse non-self employed individuals
818,What is a longterm care insurance contract?
1667,Does the IRS tax the value of the property I receive in return for my services?
495,Do I have to recognize income for a reduction of debt on purchased property from the seller?
881,Do I need to report uncollected social security and Medicare taxes?
340,What is Form RRB1099?
1845,"If I rent property to someone, what are deductible expenses?"
794,What are elective referrals?
263,What are the exceptions for this additional tax for members of the US military?
1337,Can I only deduct passive losses up to passive income?
1314,Are any personal expenses deductible? 
1714,Will anything happen if I repay my benefits during the year?
780,What are the rules for recognizing educational assistance granted to me by my employer?
1931,What benefits qualify as permanent benefits? 
984,Are bonds sold between interest dates subject to taxation? 
105,How can I recover bases when I take deductions from my IRA?
216,How do I know if I have to use the General Rule to calculate the tax free part of my annuity payments?
973,What are the reporting requirements for US Bonds purchased jointly? 
58,How do I figure out how much of a distribution from my pension or annuity plan is taxable?
130,what should I do if my new employer will not accept the amounts I would like to roll over into a qualified plan or IRA?
89,How should I treat a lump sum distribution?
478,How is canceled debt or debt forgiveness of a stockholder treated?
708,I paid the entire cost of health or accident insurance plan Should I include amounts received from my accident or heath plan as income? 
1365,How much rental expense can I deduction on my personal home? 
1778,Are dividends from restricted stock taxable?
1867,Is my social security benefits taxable?
411,Do I need to make estimated payments during the year if I have taxable benefits?
1000,Where can information on refiguring periodic interest be found? 
641,How are contributions by an S corporation to a 2 shareholderemployees HSA treated? 
598,I have a nonqualified deferred compensation plan How may it be reported by my employer? 
1674,What's considered full retirement age?
1411,What is passive rental real estate activity?
462,When is interest on debt included in income?
1901,Are there tax-free benefits that help to lower qualified education expenses? 
1832,How do I increase my federal and state tax withholdings on my paycheck?
1825,Do the payroll deductions coming out of my paycheck for employee stock purchase plan save me money on my taxes?
1764,What difference does being self employed make?
565,As an employee what form should I receive from my employer? 
113,How do the rollover rules apply to me if I receive the distribution as a surviving spouse?
603,I received a nonnegotiable secured note as payment What is the tax treatment?
971,What are the reporting options for cash method taxpayers on US Bonds?
1826,Is there any tax benefit for employee stock purchase plans at my job?
1001,Are Certificates of Deposit CDs includible in income?
1294,Can I deduct any expenses if rental income is not recorded?
1686,"When an eligible rollover distribution is received, is the tax prepaid?"
1132,Under the Affordable Care Act what is the calculation for the 38 Net Investment Income Tax?
1004,What is a Market Discount Bond? 
1558,Do clergy have special tax deductions?
574,I am a childcare provider How should I include payments for services? 
592,When is the exclusion for the LengthofService Award or Safety Achievement Award not permitted? 
871,my reporting obligations?
901,Why did my employer allocate additional tips to me?
499,Do I need to recognize canceled debt if it is a gift?
197,If I am nearing retirement age can I contribute more money to my retirement fund?
821,What are the tax rules for payments received through the Railroad Unemployment Insurance Act?
1377,Is mortgage commissions for my rental property deductible?
968,Can gift and demand loans be itemized as expense deductions? 
488,What are the rules for the exclusion of student loan forgiveness?
494,Is there more guidance from the IRS on deductible debt?
1011,When must Schedule B on Forms 1040 or 1040 A be completed?
724,I received compensation for sickness or injury What is the tax treatment?
758,Is severance pay considered income?
1236,Do I have to report dividend income if I didnt receive a 1099?
921,Can parents elect to include child's income on their returns? 
763,If I paid the premiums on my insurance policy are the benefits considered income?
1630,What are the tax consequences of receiving a nonnegotiable secured note as payment?
260,For what distributions does the additional tax on early distributions not apply to?
643,Can I make a distribution from my IRA to a HSA ? 
1802,When are accelerated death benefits not taxable?
441,What are the limits on the amount of income I can earn between age 62 and full retirement age?
1506,Is there a cap for saving bonds for education?
1129,Should I report the full amount of the dividend I received from a foreign corporation?
1035,What should I do if I recently changed my legal name? 
657,I have two or more employers Does the exclusion for employerprovided groupterm life insurance coverage still apply?
1118,What is a Schedule B form?
423,How do I deduct my legal expenses?
1551,What is the most that you can pay towards section 179 deductions? 
611,My employer pays my social security and Medicare taxes without deducting them from my gross wages Do I need to report this? 
425,What does parenethese in box 5 mean? 
634,Am I eligible if I am enrolled in Medicare or claimed as a dependent on someone elses tax return?
136,As a qualified retirement plan administrator what do I have to provide participants in regards to the rollover rules?
67,When is the exclusion of my payments from my pension or annuity plan limited to cost?
533,Who is defined as a public safety officer?
929,What triggers an IRS Deficiency Notice? 
1370,Is credit card interest a tax deductible expense?
1705,"What is an ""HSA""?"
553,Why are federal tax refunds not included in income?
335,When can I deduct disability payments from my social security benefits?
1812,What are deductible rental expenses?
913,What are the new income limits for education savings bonds interest?
815,I retired on disability how do I report my income?
118,Can I rollover the proceeds of redeemed retirement bonds?
269,What is the tax rate for required contributions not made?
526,What are the requirements for accelerated death benefits exclusion?
1645,What is the time limit for recognizing a gain or loss for an exchange in annuity contracts?
1099,When is Original Issued Discount OID applicable?
817,What are the income recognition rules for military and government pensions?
1318,How many days can I rent out my home before I have to include it in income?
594,What is a differential wage payment? 
1308,What if I get rental income from my personal house?
575,I am a babysitter Do childcare rules apply to me? 
576,I received advance commissions or other amounts If I am a cashmethod taxpayer are these amounts taxable?
1637,What should I do if I have not received my form W2 from my employer by the tax filing deadline?
610,What else do I need to include as sick pay benefits? 
96,If I received employer securities in an eligible rollover distribution is it subject to withholding?
1418,Do I have to include uncollected rent as rental income?
18,Where can I find more information on the tax treatment of benefits under eligible Section 457 plans?
1016,What are the rules concerning reporting on an individual retirement account IRA as tax-exempt interest? 
636,What is the annual catchup contribution?
1771,How much of my annuity payment is taxable?
996,What steps is the taxpayer required to take in the event a Form 1099OID is not received?
629,What is a Health flexible spending agreement Health HAS? Is it includible in income
1927,How are distributions for endowment contracts taxed? 
878,Where is tip income reported on my tax return?
1091,When do I have to report interest income from a Treasury bill note or bond?
73,How can I figure out the taxfree part of my annuity payments yeartoyear?
71,How do I use the Simplified method figuring out the taxfree part of my annuity payments?
457,Where on my return should I report business debt?
1504,Are stripped coupon bond the same as zero coupon bonds?
396,Are there any resources to help me determine my taxable benefits?
943,Is interest stemming from certificates of deposit and other deferred interest accounts subject to taxes? 
25,As a retired public safety officer can I exclude from my income any distributions made fro my retirement plan?
417,Are there any deductions available related to the social security benefits I receive?
765,Why is my Medicare tax liability higher than it should be?
1086,How does my filing status affect my ability to exclude interest under the Education Savings Bonds Program?
1900,How do I identify taxable verses non taxable interest on a 1099 INT form?
196,How do I determine my elective deferral contribution limit for my pension fund?
1176,A dividend was declared in December but I only recieved it in January of the next year in which year should I report it?
135,How can the withholding requirement on eligible rollover distributions from a qualified retirement plan be avoided?
145,Is there a different tax rate for early withdrawals if the withdrawal is from a deferred annuity contract or Roth account?
967,What type of belowmarket loans are not subject to IRS rules? 
143,How do I report early or late withdrawals from my pension plan?
485,Are there any exceptions to exclude canceled debt income?
1284,How are payments to cancel a lease treated?
728,How do I recognize foreign income? 
1622,Does mortgage points on a rental property have any tax consequences?
961,Is the interest on bonds traded flat taxable? 
1785,What is subject to capital gains?
771,How do I report my noncash fringe benefits granted to me by my employer? 
30,How can I change how a payer of my pension profitsharing stock bonus annuity or differed compensation plan will withhold income tax on the taxable amounts paid to me?
723,I received payments under the Federal Employees Compensation Act FECA What is the tax treatment? 
820,Is the income I received from workers compensation taxable?
164,How can I determine when I must begin to make minimum distributions?
645,What happens if I fail to maintain eligibility during the tax year?
1853,Is a nondividend distribution taxable?
501,Are gifts to a sales party host considered income?
1322,How do I recover costs of property?
683,What is a qualified automatic arrangement? 
1349,How does refinancing affect my interest expense deduction?
732,Is disability income paid by insurance companies taxable income?
1726,Can mortgage related fees be deducted?
214,Are there instructions on how to use the Simplified Method to calculate the tax free part of my annuity payment?
760,How do I report a secure note given to me as payment for services by my employer? 
479,What kind of income is recognized for canceled debt of a stockholder to the corporation?
622,What is a Fringe Benefit? 
34,How are distributions from qualified retirement plans for selfemployed individuals treated for income tax purposes?
403,What do I do if I receive a lumpsum payment for an earlier year?
1276,When do I report my rental income?
142,Are there penalties if I start withdrawing from my pension plan before of after I retire?
1776,What are the general responsibilities of an administrator of a qualified retirement plan?
868,Is there a penalty for not reporting my tips?
1324,What do I need to consider when depreicating rental property?
467,My bank offers a discount for early payment on my mortgage how much income do I report?
558,Why are state tax refunds included in income?
426,What happens if I repaid more benefits than I received?
1402,Can I deduct my vacation home as rental property?
653,I received a holiday gift from my employer Do I need to include it in my income?
799,What is the difference between a statutory and nonstatutory stock option?
450,How can I determine the value of services if services are exchanged?
1683,What type of belowmarket loans escape IRS rules?
655,My employer provides groupterm life insurance coverage Do I need to include the cost as income?
1595,Can I split  benefits for different programs that under one trust or the plan of my employer?
1339,How can I turn my rental income into active instead of passive?
1022,What should be reported on Box 5 of Form 1099INT?
1892,What are the limitations of the qualified transportation fringe benefits?
1093,How do I recognize interest for a bond sold between interest rates?
1549,Does Section 179 deductions have a threshold?
665,My employer provides transportation reimbursement Is this taxable? 
32,Im selfemployed
304,Is there a shortcut to find out the amount of income to compare against my base amount?
1006,When to report interest income? 
785,Are permanent benefits granted to me by my employer taxable?
1628,Can you explain what a qualified automatic arrangement is?
716,What is the period of limitation for retroactive service connected disability ratings?
1559,Do clergy have to claim housing and home ownership on their tax returns?
1080,Why does my 1099INT form shows more interest than I have received?
1694,What are some different ways I can re-value my rental property for it's yearly wear-and-tear?
1092,Are Treasury bills notes and bonds subject to state and local tax?
1824,Do the contributions to my employee stock purchase plan reduce my taxes?
1078,When do I have to recognize taxable interest when trading US bonds?
1690,Where can I login to see my social security benefits?
986,What is the reporting requirement for bonds? 
1548,Are there any limitations for OID reporting?
1379,Can I deduct my loan payments?
798,What are the tax rules for stick options from my employer?
1553,Are Social security benefit prior year payments taxable?
451,Where should I report income from bartering?
995,What are the OID reporting requirements? 
1420,What is Net Investment Income Tax?
427,Do I use a worksheet if I repaid more benefits than I received?
139,As I am retiring soon what can I do with my 401k plan?
280,What forms do I have to fill out if I received social security benefits?
568,In what instances do I not need a W2 from my employer?
1313,How do I divide between rental expenses and personal expenses for rental income?
604,I received severance pay Is this includible in income? 
1796,How does depreciation impact the gain or loss upon sale of an asset?
627,I have a longterm care coverage arrangement How are my employers contributions reported? 
1252,I bought stock after a dividend was declared but before it was paid do I owe tax?
928,What are the interest income reporting requirements for joint bank accounts? 
253,How can I avoid additional taxes on early distributions and excess accumulation for retirement funds?
1643,Where do I repory my tip income?
